Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
language_ts_004,Chrome 120.0.0.0,,,26-01-2024 15:41:38,26-01-2024 15:42:09,31.081s,PASSED
,,,,,,,
Test Cases/Data_driven_testing_folder/language_tc_004,Chrome 120.0.0.0,,,26-01-2024 15:41:39,26-01-2024 15:41:48,9.034s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,26-01-2024 15:41:39,26-01-2024 15:41:42,2.989s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 120.0.0.0,,,26-01-2024 15:41:42,26-01-2024 15:41:44,1.771s,PASSED
"click(findTestObject(""Object Repository/Page_Online Shopping site in India Shop Onl_10c5f3/div_EN""))",Chrome 120.0.0.0,,,26-01-2024 15:41:44,26-01-2024 15:41:46,1.837s,PASSED
"click(findTestObject(""Object Repository/Page_Change Language Settings/"" + language))",Chrome 120.0.0.0,,,26-01-2024 15:41:46,26-01-2024 15:41:47,1.233s,PASSED
"click(findTestObject(""Object Repository/Page_Change Language Settings/input_a-button-input""))",Chrome 120.0.0.0,,,26-01-2024 15:41:47,26-01-2024 15:41:48,0.732s,PASSED
,,,,,,,
Test Cases/Data_driven_testing_folder/language_tc_004,Chrome 120.0.0.0,,,26-01-2024 15:41:48,26-01-2024 15:41:55,7.550s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,26-01-2024 15:41:48,26-01-2024 15:41:49,1.805s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 120.0.0.0,,,26-01-2024 15:41:49,26-01-2024 15:41:51,1.573s,PASSED
"click(findTestObject(""Object Repository/Page_Online Shopping site in India Shop Onl_10c5f3/div_EN""))",Chrome 120.0.0.0,,,26-01-2024 15:41:51,26-01-2024 15:41:53,2.054s,PASSED
"click(findTestObject(""Object Repository/Page_Change Language Settings/"" + language))",Chrome 120.0.0.0,,,26-01-2024 15:41:53,26-01-2024 15:41:54,1.066s,PASSED
"click(findTestObject(""Object Repository/Page_Change Language Settings/input_a-button-input""))",Chrome 120.0.0.0,,,26-01-2024 15:41:54,26-01-2024 15:41:55,0.990s,PASSED
,,,,,,,
Test Cases/Data_driven_testing_folder/language_tc_004,Chrome 120.0.0.0,,,26-01-2024 15:41:55,26-01-2024 15:42:02,6.889s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,26-01-2024 15:41:55,26-01-2024 15:41:57,1.702s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 120.0.0.0,,,26-01-2024 15:41:57,26-01-2024 15:41:58,1.430s,PASSED
"click(findTestObject(""Object Repository/Page_Online Shopping site in India Shop Onl_10c5f3/div_EN""))",Chrome 120.0.0.0,,,26-01-2024 15:41:58,26-01-2024 15:42:00,1.731s,PASSED
"click(findTestObject(""Object Repository/Page_Change Language Settings/"" + language))",Chrome 120.0.0.0,,,26-01-2024 15:42:00,26-01-2024 15:42:01,1.185s,PASSED
"click(findTestObject(""Object Repository/Page_Change Language Settings/input_a-button-input""))",Chrome 120.0.0.0,,,26-01-2024 15:42:01,26-01-2024 15:42:02,0.805s,PASSED
,,,,,,,
Test Cases/Data_driven_testing_folder/language_tc_004,Chrome 120.0.0.0,,,26-01-2024 15:42:02,26-01-2024 15:42:09,7.127s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,26-01-2024 15:42:02,26-01-2024 15:42:04,1.854s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 120.0.0.0,,,26-01-2024 15:42:04,26-01-2024 15:42:05,1.526s,PASSED
"click(findTestObject(""Object Repository/Page_Online Shopping site in India Shop Onl_10c5f3/div_EN""))",Chrome 120.0.0.0,,,26-01-2024 15:42:05,26-01-2024 15:42:07,1.645s,PASSED
"click(findTestObject(""Object Repository/Page_Change Language Settings/"" + language))",Chrome 120.0.0.0,,,26-01-2024 15:42:07,26-01-2024 15:42:08,1.172s,PASSED
"click(findTestObject(""Object Repository/Page_Change Language Settings/input_a-button-input""))",Chrome 120.0.0.0,,,26-01-2024 15:42:08,26-01-2024 15:42:09,0.893s,PASSED
